ProductTitle,EveryDayVolumnModelList,ProductPrice,ProductSource,ProductSourceImage,Cover,TagName,BloggerCount,LiveCount,Volume,Price,PriceValue,ProductUrl,ProductThirdUrl,HasReply,BrandName,BrandId,BrandDetailUrl,ShopId,RealProductId,IsCommissionRate,CommissionRate,ShopName,ShopDetailUrl,SourceTypeName,IsLigthning,Living,PriceRate,IsPriceBlock,BeginDate,EndDate
桂兰世家老面味发面宝益生菌发面旺酵母发酵速发粉,[],1.99 - 9.90,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,http://u2-000.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-44130735-3ab3f3d1e97742c18945cd0323cc5ab4.jpg,烘焙原料/食品添加剂,438,1.6w,6.8w,46.2w,0.0,#/StaticPage/ProductDetail?relProductId=20660035499735&sourceType=99&timestamp=1717111576&signature=944ba002cc7dad43fa3bdd2183a17f12,https://app.kwaixiaodian.com/merchant/shop/detail?id=20660035499735,0,桂兰世家,182075,#/StaticPage/BrandDetail?brandId=182075&isTrusted=true,142430,20660035499735,1,42%,桂兰世家龙都专卖店,#/StaticPage/Shop/Detail?shopId=142430,快手小店,0,,0,-1,,
【吕小厨专属】尚川酵母粉耐高糖干酵母粉蒸馒头包子多用型5g/袋,[],9.99,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,https://u1-203.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-2599813491-edd9a0ea795545e1866b9cee55801022.jpg,烘焙原料/食品添加剂,13,284,3.8w,37.5w,0.0,#/StaticPage/ProductDetail?relProductId=21792769054491&sourceType=99&timestamp=1717111576&signature=292dfa1c8738c129284c5297aa157b64,https://app.kwaixiaodian.com/merchant/shop/detail?id=21792769054491,0,尚川,50561,#/StaticPage/BrandDetail?brandId=50561&isTrusted=true,155400,21792769054491,0,0%,尚川旗舰店,#/StaticPage/Shop/Detail?shopId=155400,快手小店,0,,0,-1,,
9.9到手50包 老面味发面王发面宝发酵粉高活性小包酵母粉蒸馒头包,[],9.90,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,https://u1-203.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-3506467190-c4516b20e3a544c0844a305d7e6940f6.jpg,烘焙原料/食品添加剂,658,1.2w,3.7w,36.6w,0.0,#/StaticPage/ProductDetail?relProductId=21267572152190&sourceType=99&timestamp=1717111576&signature=d5c861bc22d4c287165a595403927309,https://app.kwaixiaodian.com/merchant/shop/detail?id=21267572152190,0,解放碑,268014,#/StaticPage/BrandDetail?brandId=268014&isTrusted=true,297982,21267572152190,1,30%,致广大食品专营店,#/StaticPage/Shop/Detail?shopId=297982,快手小店,0,,0,-1,,
新疆可发货【4袋仅19.9元】凉皮专用粉陕西做凉皮面粉,[],19.90,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,https://u1-203.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-3409582260-f2b33a0b8f2946fb98b112db35d4741a.jpg,烘焙原料/食品添加剂,101,3019,1.5w,30.2w,0.0,#/StaticPage/ProductDetail?relProductId=21746636557260&sourceType=99&timestamp=1717111576&signature=522dd5228cb77a487756121d5ebc6473,https://app.kwaixiaodian.com/merchant/shop/detail?id=21746636557260,0,森庄农品,80360,#/StaticPage/BrandDetail?brandId=80360&isTrusted=true,309723,21746636557260,0,0%,森庄农品广州专卖店,#/StaticPage/Shop/Detail?shopId=309723,快手小店,0,,0,-1,,
尚川老面味发酵粉发面宝酵母粉蒸馒头包子家用快速发酵蓬松6g/袋,[],9.90,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,http://u2-000.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-1653194726-fea29f8a7bc64f62a11ea1b6ff5edc69.jpg,烘焙原料/食品添加剂,173,5440,2.7w,26.8w,0.0,#/StaticPage/ProductDetail?relProductId=21108604103726&sourceType=99&timestamp=1717111576&signature=75e445e061bc44089636a3a3ac53e900,https://app.kwaixiaodian.com/merchant/shop/detail?id=21108604103726,0,尚川,50561,#/StaticPage/BrandDetail?brandId=50561&isTrusted=true,1535,21108604103726,1,50%,尚川官方旗舰店,#/StaticPage/Shop/Detail?shopId=1535,快手小店,0,,0,-1,,
【丽姐专属】【拍一发30包】必琪高活性酵母粉5g/袋,[],9.90 - 14.90,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,https://u1-203.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-3055507394-ba4427f1759c4196ae6bff71ad7184ff.jpg,烘焙原料/食品添加剂,7,298,1.5w,21.8w,0.0,#/StaticPage/ProductDetail?relProductId=20509227194394&sourceType=99&timestamp=1717111576&signature=bc4b7e9c8378bce568928a2449fd69cd,https://app.kwaixiaodian.com/merchant/shop/detail?id=20509227194394,0,必琪,232460,#/StaticPage/BrandDetail?brandId=232460&isTrusted=true,202278,20509227194394,1,25%,快盟食品专营店,#/StaticPage/Shop/Detail?shopId=202278,快手小店,0,,0,-1,,
尚川耐高糖高活性干酵母粉蒸馒头包子花卷发糕面包多用型5g袋,[],8.90 - 9.99,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,http://u2-000.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-1653194726-76461316dd354432a3166f2e73b13b3a.jpg,烘焙原料/食品添加剂,303,5608,1.9w,18.5w,0.0,#/StaticPage/ProductDetail?relProductId=20926239719726&sourceType=99&timestamp=1717111576&signature=96cd9f3a69ccb55fafdbafc0f143eb2d,https://app.kwaixiaodian.com/merchant/shop/detail?id=20926239719726,0,尚川,50561,#/StaticPage/BrandDetail?brandId=50561&isTrusted=true,1535,20926239719726,1,20%,尚川官方旗舰店,#/StaticPage/Shop/Detail?shopId=1535,快手小店,0,,0,-1,,
【送刮刀+量杯！8袋仅19.9元】豌豆淀粉白凉粉劲道爽滑100g/袋,[],19.90,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,http://u2-000.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-3409582260-09d5a8dbf8f949229af45143e99118f8.jpg,烘焙原料/食品添加剂,112,1450,8869,17.6w,0.0,#/StaticPage/ProductDetail?relProductId=21813979419260&sourceType=99&timestamp=1717111576&signature=e8d4fd72ba849a644658ed4ec0b84563,https://app.kwaixiaodian.com/merchant/shop/detail?id=21813979419260,0,森庄农品,80360,#/StaticPage/BrandDetail?brandId=80360&isTrusted=true,309723,21813979419260,0,0%,森庄农品广州专卖店,#/StaticPage/Shop/Detail?shopId=309723,快手小店,0,,0,-1,,
豌豆粉500g拍一发二加送刮子和量杯豌豆淀粉爽滑爽口制作,[],19.80,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,http://u1-000.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-3409582260-a4c1257fd8ec49638f0f22dc731e455d.jpg,烘焙原料/食品添加剂,95,1982,8601,17.0w,0.0,#/StaticPage/ProductDetail?relProductId=21718835523260&sourceType=99&timestamp=1717111576&signature=3d578e02d1d158bcc18206ff05621c9b,https://app.kwaixiaodian.com/merchant/shop/detail?id=21718835523260,0,森庄农品,80360,#/StaticPage/BrandDetail?brandId=80360&isTrusted=true,309723,21718835523260,0,0%,森庄农品广州专卖店,#/StaticPage/Shop/Detail?shopId=309723,快手小店,0,,0,-1,,
【直播专享！13.9元5袋】蛋糕预拌粉 奶香浓郁 香甜湿滑 100克/袋,[],13.90,99,https://img.feigua.cn/ksapp/shopicon/kuaishouxiaodian.png,http://u2-000.ecukwai.com/bs2/image-kwaishop-product/ITEM_IMAGE-2499940465-31b8ac2bf1bf442b923cd1cef42d3b3f.jpg,烘焙原料/食品添加剂,1,21,1.2w,16.3w,0.0,#/StaticPage/ProductDetail?relProductId=21823948601465&sourceType=99&timestamp=1717111576&signature=62463448ab2fb1b966d5047cba604407,https://app.kwaixiaodian.com/merchant/shop/detail?id=21823948601465,0,,0,,308039,21823948601465,0,0%,肖栎食品2个体店,#/StaticPage/Shop/Detail?shopId=308039,快手小店,0,,0,-1,,
